epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
89,15065.7,2.11991,1.50893,0.00311,0.42997,0.32014,0.32452,0.17363,2.09317,1.45153,0.00371,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192
90,15243.9,2.10379,1.50119,0.00311,0.42682,0.32761,0.32487,0.17357,2.08742,1.44985,0.0037,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126
91,15430.9,2.11861,1.5037,0.00309,0.42068,0.32599,0.32342,0.17242,2.09556,1.45319,0.00372,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
92,15604.4,2.10155,1.49197,0.00308,0.43196,0.32419,0.32496,0.17288,2.09316,1.45005,0.00371,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994
93,15773.1,2.11159,1.50679,0.00307,0.42347,0.32439,0.32493,0.17403,2.08876,1.44813,0.0037,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928
94,15940.7,2.10445,1.49635,0.00307,0.41975,0.32951,0.32434,0.1741,2.08624,1.44689,0.00369,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
95,16100.8,2.10076,1.49538,0.00306,0.42726,0.32377,0.32325,0.17365,2.09026,1.44591,0.0037,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796
96,16254.6,2.10054,1.49427,0.0031,0.42455,0.32667,0.32362,0.17321,2.08995,1.443,0.00371,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
97,16417.5,2.09227,1.4881,0.00307,0.42584,0.32618,0.3246,0.17315,2.0906,1.44366,0.0037,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
98,16573.9,2.10015,1.48616,0.00305,0.42209,0.32665,0.32428,0.17258,2.09312,1.44464,0.0037,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598
